video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link
814893435,sd,540p,video/mp4,960,540,540p,25,147869978,141.02MB,https://player.vimeo.com/progressive_redirect/playback/814893435/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=1c92fc4bdb531a28253d1295ea40ebe6999e96cfa59a383a8b103a40ecb44a69
814893435,hls,adaptive,video/mp4,,,360p,25,111905130,106.72MB,https://player.vimeo.com/external/814893435.m3u8?s=d6d21bbc943da015587b103d71bbbae0d3e2bf96&oauth2_token_id=1643955558
815214806,sd,540p,video/mp4,960,540,540p,25,178406060,170.14MB,https://player.vimeo.com/progressive_redirect/playback/815214806/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=d3bcb96a4b72cfde70d8bf9e92a67e68e00fa8f0ec20ed597a9d68d93a0b2548
815214806,sd,360p,video/mp4,640,360,360p,25,133854149,127.65MB,https://player.vimeo.com/progressive_redirect/playback/815214806/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=16ea155c07d6da052f8d4b673c0b6bae845e3adc434b91f8cf902aa95461e4b3
815214806,hd,720p,video/mp4,1280,720,720p,25,225109129,214.68MB,https://player.vimeo.com/progressive_redirect/playback/815214806/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=8a16724769fadd925d789e397999e286b44660b515d37cf39f3bb96b1eb4fd4c
815214806,sd,240p,video/mp4,426,240,240p,25,108581549,103.55MB,https://player.vimeo.com/progressive_redirect/playback/815214806/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=6cc67fa519a11c876c334b1840d3a88e16d53bf2430a9caecc421a93fd31f1f3
815214806,hd,1080p,video/mp4,1920,1080,1080p,25,311196805,296.78MB,https://player.vimeo.com/progressive_redirect/playback/815214806/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5a926bceeec0c7ce554c27f53e021ca8e8f0ab830d2cf9e214d40e3931a58d1a
815214806,hls,adaptive,video/mp4,,,540p,25,178406060,170.14MB,https://player.vimeo.com/external/815214806.m3u8?s=55b25320906d7c5f111b1fe53653119dcf1598d3&oauth2_token_id=1643955558
815214703,hd,1080p,video/mp4,1920,1080,1080p,30,263265884,251.07MB,https://player.vimeo.com/progressive_redirect/playback/815214703/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=f25cc9bc74f3d88b57df78f2b5a48e92c8a360379132dbc0465a28fc610b85d9
815214703,sd,540p,video/mp4,960,540,540p,30,150329715,143.37MB,https://player.vimeo.com/progressive_redirect/playback/815214703/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=d449c96c733afe8374d548ec8a8093e14d76f58313c3258e65540cfd7e63472f
815214703,sd,240p,video/mp4,426,240,240p,30,95079186,90.67MB,https://player.vimeo.com/progressive_redirect/playback/815214703/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=55eb05d7ff16a076a1742af30f632adc02c8fa9ea132520e86fbb48e4beb6301
815214703,hd,720p,video/mp4,1280,720,720p,30,195113750,186.07MB,https://player.vimeo.com/progressive_redirect/playback/815214703/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=bb204c7ec0ef83a531cdce7e4cbea84df413cefce0c34ff66d7d3876a885d6ed
815214703,sd,360p,video/mp4,640,360,360p,30,114924793,109.6MB,https://player.vimeo.com/progressive_redirect/playback/815214703/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=4afd6bd229a449d78d3f3586d93defa79ec1273e30fb6f1daa2b79adc70b23e0
815214703,hls,adaptive,video/mp4,,,1080p,30,263265884,251.07MB,https://player.vimeo.com/external/815214703.m3u8?s=5e051001194ebb179e21e27207e6c0df7f6ce46a&oauth2_token_id=1643955558
815258968,sd,240p,video/mp4,426,240,240p,30,123838018,118.1MB,https://player.vimeo.com/progressive_redirect/playback/815258968/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=448e728982c3d8e49d136c28ef6a3ab5f8c42bd63d92aabeb36e01dd85452ef7
815258968,sd,360p,video/mp4,640,360,360p,30,171962564,164MB,https://player.vimeo.com/progressive_redirect/playback/815258968/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=ccadc9874cd875785b54734b350afdd25445cacf6e327b0f1dbcc6998258f50d
