video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link,created_at
883710867,sd,240p,video/mp4,426,240,240p,30,25895326,24.7MB,https://player.vimeo.com/progressive_redirect/playback/883710867/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=9daf66d1d1acdb24abc70e2320e282af2c12be8a37ed4b34f327d8dc2bd85248,2023-11-12T14:20:52+00:00
883710867,hd,1080p,video/mp4,1920,1080,1080p,30,70927127,67.64MB,https://player.vimeo.com/progressive_redirect/playback/883710867/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=8ce97ae122d83a395387a8e0c08cc697eba01f61ce97f749dd3c6e724d46dfbd,2023-11-12T14:24:00+00:00
883710867,hd,720p,video/mp4,1280,720,720p,30,48684452,46.43MB,https://player.vimeo.com/progressive_redirect/playback/883710867/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=e1f602865f1de220dde8509299db81cdb4d2eedc47473b3243833634ab3664f2,2023-11-12T14:20:13+00:00
883710867,hls,adaptive,video/mp4,,,source,29.999675805353533,168740034,160.92MB,https://player.vimeo.com/external/883710867.m3u8?s=958e6f665ca9db0579e65f0b1dc2182f25b7b0a9&oauth2_token_id=1643955558,2023-11-12T14:18:21+00:00
884350323,hd,720p,video/mp4,1280,720,720p,30,131490584,125.4MB,https://player.vimeo.com/progressive_redirect/playback/884350323/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a1f1b36b9fef6e0c572c3a8b53e46e2aa681f086a1bbac3856a9b05cbf2dc516,2023-11-15T08:12:33+00:00
884350323,sd,240p,video/mp4,426,240,240p,30,64200896,61.23MB,https://player.vimeo.com/progressive_redirect/playback/884350323/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=71cf9f7b1faee30e554b4fc1dc8a7f464b7cca45112552b499339e0d56390b47,2023-11-15T08:11:57+00:00
884350323,sd,540p,video/mp4,960,540,540p,30,105538485,100.65MB,https://player.vimeo.com/progressive_redirect/playback/884350323/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=ffec43f1426ae0fa18c21c5b25dad2c65bbf86e3b37f329044e28e88e11e53a2,2023-11-15T08:13:05+00:00
884350323,sd,360p,video/mp4,640,360,360p,30,78974568,75.32MB,https://player.vimeo.com/progressive_redirect/playback/884350323/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=96a9f693987cb562e3a6c9842c7a1f4e6c418defa065c7234a1dca1281cbec48,2023-11-15T08:16:54+00:00
884350323,hls,adaptive,video/mp4,,,720p,30,131490584,125.4MB,https://player.vimeo.com/external/884350323.m3u8?s=b57baf7153e2f28d83d8757ffc9e8e7d25c1d53a&oauth2_token_id=1643955558,2023-11-15T08:12:33+00:00
884386564,sd,240p,video/mp4,426,240,240p,30,271966977,259.37MB,https://player.vimeo.com/progressive_redirect/playback/884386564/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5ea809bd031b28a81c0670e875a3b0add7c344d6722b0438bda88d6e7e121fcc,2023-11-14T15:42:14+00:00
884386564,sd,540p,video/mp4,960,540,540p,30,1325042280,1.23GB,https://player.vimeo.com/progressive_redirect/playback/884386564/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=1a3129a39a0b355147ff523698f659859c172c70c1169471250a5ad656a30e06,2023-11-14T15:42:35+00:00
884386564,hd,720p,video/mp4,1280,720,720p,30,2065917133,1.92GB,https://player.vimeo.com/progressive_redirect/playback/884386564/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5f854fbd850f060037d93ec863b9f6b780d472a726ea790048a5a39916986b0a,2023-11-14T15:42:50+00:00
884386564,sd,360p,video/mp4,640,360,360p,30,477761797,455.63MB,https://player.vimeo.com/progressive_redirect/playback/884386564/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=453af9ed71834b1dfa4a4233b6a52742ee9d266b1e535b040cf914f220f92d59,2023-11-14T15:42:20+00:00
884386564,hls,adaptive,video/mp4,,,240p,30,271966977,259.37MB,https://player.vimeo.com/external/884386564.m3u8?s=a09bc2621208335ef07dd9253614483281f8cfce&oauth2_token_id=1643955558,2023-11-14T15:42:14+00:00
884809168,hd,720p,video/mp4,1280,720,720p,30,1710736180,1.59GB,https://player.vimeo.com/progressive_redirect/playback/884809168/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a12c050dad929fea9ad880e31dafd6af6f612c48301c3010f38ea45701078145,2023-11-15T15:23:57+00:00
884809168,sd,540p,video/mp4,960,540,540p,30,1094441734,1.02GB,https://player.vimeo.com/progressive_redirect/playback/884809168/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=dbc0851c9d6a167512d60500d39694dbb8919a258db9eab5dcf661419f9d0096,2023-11-15T15:23:21+00:00
884809168,sd,360p,video/mp4,640,360,360p,30,394155442,375.9MB,https://player.vimeo.com/progressive_redirect/playback/884809168/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=37b51e2852d5daeba9ea70b29830203c7abdc7d1eb04533b66ba389f2da462e3,2023-11-15T15:23:13+00:00
884809168,sd,240p,video/mp4,426,240,240p,30,224173123,213.79MB,https://player.vimeo.com/progressive_redirect/playback/884809168/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=e76f111c9ad4f32eb4b2803b6b8e7d7d9f0c974bfcf8c8022e1108d0f0156d18,2023-11-15T15:23:13+00:00
884809168,hls,adaptive,video/mp4,,,720p,30,1710736180,1.59GB,https://player.vimeo.com/external/884809168.m3u8?s=11d6e86ceefae01b07745bdf935d4a0ba401a756&oauth2_token_id=1643955558,2023-11-15T15:23:57+00:00
885204349,sd,240p,video/mp4,426,240,240p,30,16364295,15.61MB,https://player.vimeo.com/progressive_redirect/playback/885204349/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=07c92a01ffa30066e2bb8ef5224c08c0e37f0a4a54ffb28ddc1ca3e86fc41013,2023-11-16T13:12:41+00:00
