video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link
580127169,sd,540p,video/mp4,960,540,540p,30,49560295,47.26MB,https://player.vimeo.com/progressive_redirect/playback/580127169/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=df711254e5df68ecd9ff8c5f144b1cf5245cfb23e2ee051abdbc575a04f1b359
580127169,hd,720p,video/mp4,1280,720,720p,30,55950461,53.36MB,https://player.vimeo.com/progressive_redirect/playback/580127169/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=002003e7ce3f62c70366b088c3b4b9c8c48210dfd9260f6a8ff42a07c311bbad
580127169,hd,1080p,video/mp4,1920,1080,1080p,30,68446455,65.28MB,https://player.vimeo.com/progressive_redirect/playback/580127169/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=7baf1c0b26d1b4469c6af618d33e00a1c09b4d91a9b986d8d1201943f3b431c1
580127169,sd,360p,video/mp4,640,360,360p,30,26356328,25.14MB,https://player.vimeo.com/progressive_redirect/playback/580127169/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=08648d3449976693d07f0edeca3d43f531f23aa43867e960b6ebcdc0a1bd8677
580127169,hls,adaptive,video/mp4,,,540p,30,49560295,47.26MB,https://player.vimeo.com/external/580127169.m3u8?s=52dd05de324f118ca77895436f9e9e7b0edf4f1f&oauth2_token_id=1643955558
580351890,hd,720p,video/mp4,1280,720,720p,30,62423135,59.53MB,https://player.vimeo.com/progressive_redirect/playback/580351890/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=ad3c027ed5859cc0dc7df73e75027034f378bfce3828bb5a43e887b4b0b14860
580351890,sd,360p,video/mp4,640,360,360p,30,29136633,27.79MB,https://player.vimeo.com/progressive_redirect/playback/580351890/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=ed47d429a9bad782e2b8c80c2651c0ae6bcf3bc1edb1daa621cfe027d9bfa489
580351890,sd,540p,video/mp4,960,540,540p,30,54423809,51.9MB,https://player.vimeo.com/progressive_redirect/playback/580351890/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=3af4553069d208acd76886cb69a0aa7d684529c748977218c126289d858b8a7a
580351890,hd,1080p,video/mp4,1920,1080,1080p,30,77163952,73.59MB,https://player.vimeo.com/progressive_redirect/playback/580351890/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a3b417cd2e97125b4161b03122cc93fbaf466daed655c5c10ca2912fe033d8ea
580351890,hls,adaptive,video/mp4,,,720p,30,62423135,59.53MB,https://player.vimeo.com/external/580351890.m3u8?s=2eee12966e45a1dd14fc6cd203f070a210796906&oauth2_token_id=1643955558
580346314,sd,540p,video/mp4,960,540,540p,30,29549314,28.18MB,https://player.vimeo.com/progressive_redirect/playback/580346314/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=06ceed85b24dea1866063e9dd095cf8613e24216b3f470d145a63437b8be64a8
580346314,hd,720p,video/mp4,1280,720,720p,30,34000169,32.43MB,https://player.vimeo.com/progressive_redirect/playback/580346314/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a4d07c39bacc3e5946bd2be995ac40b016263b229cd836e62e11d69b08a7679b
580346314,hd,1080p,video/mp4,1920,1080,1080p,30,41691915,39.76MB,https://player.vimeo.com/progressive_redirect/playback/580346314/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=168509bce7e637f1b7b53f2872ea4bfc7d8f13b8e9538dd688332c57ec8b9da4
580346314,sd,360p,video/mp4,640,360,360p,30,15778290,15.05MB,https://player.vimeo.com/progressive_redirect/playback/580346314/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=3ef71c93993b691171fc0d8855099708637777ca825b5177e47f1536376f6e4a
580346314,hls,adaptive,video/mp4,,,540p,30,29549314,28.18MB,https://player.vimeo.com/external/580346314.m3u8?s=e52bef5ef7e106a9d7284130395479a359055d7b&oauth2_token_id=1643955558
580427924,hd,720p,video/mp4,1280,720,720p,30,64829776,61.83MB,https://player.vimeo.com/progressive_redirect/playback/580427924/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=f34422675b0a3bea2a239d01e8104671cf0ded8f1f84d18078427a68ab10fcda
580427924,hd,1080p,video/mp4,1920,1080,1080p,30,79599496,75.91MB,https://player.vimeo.com/progressive_redirect/playback/580427924/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=daf6d96c0d65a6666217290c40947acf0ed94425640a32ce4c2cd2ad1c0bca74
580427924,sd,540p,video/mp4,960,540,540p,30,56507148,53.89MB,https://player.vimeo.com/progressive_redirect/playback/580427924/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=da433c8d7ad808a965043fab0ffcbe7c586a9d18f412544db8f3f59121ac931f
580427924,sd,360p,video/mp4,640,360,360p,30,30771348,29.35MB,https://player.vimeo.com/progressive_redirect/playback/580427924/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=9af0a6454e9b71a8d1dc3a5f7a3efaf28db8c4fa4f0776b5bd752fa7df359b69
580427924,hls,adaptive,video/mp4,,,720p,30,64829776,61.83MB,https://player.vimeo.com/external/580427924.m3u8?s=be8961efe1163cf75ea5f6c9c8623c3869baf879&oauth2_token_id=1643955558
580673077,sd,360p,video/mp4,640,360,360p,30,25528693,24.35MB,https://player.vimeo.com/progressive_redirect/playback/580673077/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=797b90f186350dc37bccb7c40977ffb13063b3ffc5ea4eb9c1c77172dec63a9d
580673077,hd,720p,video/mp4,1280,720,720p,30,53274520,50.81MB,https://player.vimeo.com/progressive_redirect/playback/580673077/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=622ffbd930863b44098d334e532a516b91e1f8f04d736cf8bcba6c3281e8dde5
580673077,hd,1080p,video/mp4,1920,1080,1080p,30,64691583,61.69MB,https://player.vimeo.com/progressive_redirect/playback/580673077/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=27d8d1af4b739c1c8d52f23508c913b55a5f7b748b4a80a99d3ee8e824efeec6
580673077,sd,540p,video/mp4,960,540,540p,30,47141187,44.96MB,https://player.vimeo.com/progressive_redirect/playback/580673077/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5efe4dfefcb316abc7490968832c2bf2ddf71e5b63ab4da2edb66ce097d68b96
580673077,hls,adaptive,video/mp4,,,360p,30,25528693,24.35MB,https://player.vimeo.com/external/580673077.m3u8?s=4576443da846ec25fee2d5bb736ec3818821b41e&oauth2_token_id=1643955558
582470634,sd,540p,video/mp4,960,540,540p,30,93869512,89.52MB,https://player.vimeo.com/progressive_redirect/playback/582470634/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=dfdad3f249172883f5e2cef31167f1584c8c25d497b525e034c7639571713e03
582470634,sd,360p,video/mp4,640,360,360p,30,46535622,44.38MB,https://player.vimeo.com/progressive_redirect/playback/582470634/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=629b48ab57d0c12db20b29c44562710b14719c2bd41b8c0a9a8d99b32019a38b
582470634,hd,1080p,video/mp4,1920,1080,1080p,30,174232701,166.16MB,https://player.vimeo.com/progressive_redirect/playback/582470634/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=b0978073565bcc55bce4da99a3151d8f90091000b96fa33e24a205d474b0b1a2
582470634,hd,720p,video/mp4,1280,720,720p,30,114692788,109.38MB,https://player.vimeo.com/progressive_redirect/playback/582470634/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=bf4f2fd746d29a75039f0e4a3cd92d2816eeb7accf717500c7b096fdcb82420d
582470634,hls,adaptive,video/mp4,,,540p,30,93869512,89.52MB,https://player.vimeo.com/external/582470634.m3u8?s=7f68d939f32531abda61b6e4cb2e8bdc76b3a59e&oauth2_token_id=1643955558
583020259,sd,540p,video/mp4,960,540,540p,30,22477165,21.44MB,https://player.vimeo.com/progressive_redirect/playback/583020259/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=7dfc9accf5fb055a71258d121a26ff7961671a5bf9cd69bdabacd257e4fb44a4
583020259,hd,1080p,video/mp4,1920,1080,1080p,30,35953602,34.29MB,https://player.vimeo.com/progressive_redirect/playback/583020259/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=9557f131bcccd4c910c6fd26d6134cfa7b1e57901c6e72026e103c9366ce9f06
583020259,sd,360p,video/mp4,640,360,360p,30,11779499,11.23MB,https://player.vimeo.com/progressive_redirect/playback/583020259/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=56f489e1ce1ad687ca6183f24b028036c46c25e19e854838924e257a2cd34c78
583020259,hd,720p,video/mp4,1280,720,720p,30,26896550,25.65MB,https://player.vimeo.com/progressive_redirect/playback/583020259/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=0b3fe029fb857ccad479a4ffb1400e01c994b0a43afbd091b9258f53a4a65e2f
583020259,hls,adaptive,video/mp4,,,540p,30,22477165,21.44MB,https://player.vimeo.com/external/583020259.m3u8?s=61e48f2ecfbdaeb1cefb462187d1d5547338a4b7&oauth2_token_id=1643955558
583441224,hd,1080p,video/mp4,1920,1080,1080p,30,58856136,56.13MB,https://player.vimeo.com/progressive_redirect/playback/583441224/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=b85f4d0888c4c82316cf07425ea7c62def77e313cf20391e32055e18ec2867b3
583441224,sd,540p,video/mp4,960,540,540p,30,40452701,38.58MB,https://player.vimeo.com/progressive_redirect/playback/583441224/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=e70818a1a721761cfdeca1df4cc09b766141849aadddb9bb79fbf99189df71bf
583441224,sd,360p,video/mp4,640,360,360p,30,21747829,20.74MB,https://player.vimeo.com/progressive_redirect/playback/583441224/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5a9ac14786595beed59958579bab51487a82760a4a9518d82428ad45d345d3bc
583441224,hd,720p,video/mp4,1280,720,720p,30,46622477,44.46MB,https://player.vimeo.com/progressive_redirect/playback/583441224/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=20013ca7b4c8b1aace47c8a11beb297d2d607c6ee15ce641b2d6ae8c19698bb9
